,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
14/06/2020,69,241,246,22,34
15/06/2020,56,343,167,22,39
16/06/2020,172,321,670,57,62
17/06/2020,131,403,633,39,63
18/06/2020,105,364,680,45,44
19/06/2020,136,318,647,42,63
20/06/2020,118,275,559,19,51
21/06/2020,102,250,199,36,54
22/06/2020,71,304,167,52,60
23/06/2020,119,382,749,55,69
24/06/2020,112,399,515,62,97
25/06/2020,85,345,624,28,59
26/06/2020,92,366,388,74,70
27/06/2020,90,365,548,31,75
28/06/2020,33,242,183,37,57
29/06/2020,68,357,183,49,35
30/06/2020,114,355,649,85,77
01/07/2020,105,307,472,42,112
02/07/2020,133,393,542,85,99
03/07/2020,100,431,592,63,104
04/07/2020,82,314,522,67,106
05/07/2020,55,234,166,54,93
06/07/2020,38,278,150,70,84
07/07/2020,76,370,618,76,114
08/07/2020,91,427,506,91,108
09/07/2020,75,359,584,96,106
10/07/2020,81,301,585,108,139
11/07/2020,91,341,449,88,102
12/07/2020,54,255,200,60,62
13/07/2020,45,322,194,97,75
14/07/2020,76,315,682,139,88
15/07/2020,65,347,528,130,163
16/07/2020,97,373,611,105,136
17/07/2020,121,257,517,129,139
18/07/2020,61,292,358,95,115
19/07/2020,76,201,318,65,56
20/07/2020,56,246,159,72,99
21/07/2020,90,375,606,166,130
22/07/2020,108,280,631,146,119
23/07/2020,97,329,562,165,158
24/07/2020,78,294,540,123,121
25/07/2020,82,258,567,151,153
26/07/2020,47,206,166,62,74
27/07/2020,50,209,168,89,98
28/07/2020,30,294,274,145,178
29/07/2020,35,263,958,183,156
30/07/2020,45,227,583,163,111
31/07/2020,84,243,524,169,192
01/08/2020,65,320,431,178,94
02/08/2020,41,187,139,78,96
03/08/2020,34,233,106,108,80
04/08/2020,68,285,475,200,126
05/08/2020,77,250,866,171,73
06/08/2020,70,251,555,179,182
07/08/2020,64,218,482,140,175
08/08/2020,57,225,413,83,127
09/08/2020,22,147,211,115,77
10/08/2020,46,217,154,206,80
11/08/2020,72,246,559,180,217
12/08/2020,53,255,573,157,137
13/08/2020,63,234,653,163,149
14/08/2020,51,209,507,129,164
15/08/2020,37,212,302,94,64
16/08/2020,34,178,207,98,103
17/08/2020,46,202,175,139,122
18/08/2020,89,236,691,170,166
19/08/2020,74,241,616,121,160
20/08/2020,54,170,599,192,189
21/08/2020,33,210,518,117,176
22/08/2020,45,212,392,118,125
23/08/2020,35,171,163,47,78
24/08/2020,46,156,172,97,94
25/08/2020,68,235,640,161,167
26/08/2020,60,204,541,140,140
27/08/2020,53,157,500,119,155
28/08/2020,43,184,409,112,107
29/08/2020,30,166,522,127,-87
30/08/2020,23,128,107,44,264
31/08/2020,73,162,106,104,108
01/09/2020,75,181,565,162,232
02/09/2020,191,183,560,120,130
03/09/2020,65,76,414,124,155
04/09/2020,55,155,390,140,148
05/09/2020,37,153,288,120,103
06/09/2020,24,110,225,44,44
07/09/2020,19,99,75,60,57
08/09/2020,36,119,150,102,97
09/09/2020,44,152,585,145,149
10/09/2020,49,164,474,120,176
11/09/2020,48,160,369,153,144
12/09/2020,40,150,423,80,121
13/09/2020,57,116,128,52,62
14/09/2020,47,107,72,69,86
15/09/2020,57,165,553,185,153
16/09/2020,52,129,559,119,128
17/09/2020,54,123,422,115,115
18/09/2020,56,129,407,117,149
19/09/2020,40,136,394,87,82
20/09/2020,16,115,140,34,58
21/09/2020,21,105,105,78,68
22/09/2020,36,148,401,117,134
23/09/2020,53,133,481,117,85
24/09/2020,56,157,403,83,132
25/09/2020,-49,128,429,87,134
26/09/2020,146,140,397,80,106
27/09/2020,23,108,137,37,30
28/09/2020,18,102,62,59,76
29/09/2020,37,156,396,141,133
30/09/2020,162,178,438,132,121
01/10/2020,42,141,344,99,102
02/10/2020,25,130,330,79,144
03/10/2020,34,111,338,72,44
04/10/2020,17,80,144,30,94
05/10/2020,25,80,80,85,53
06/10/2020,32,126,431,105,125
07/10/2020,35,120,385,84,110
08/10/2020,38,94,453,54,90
09/10/2020,32,94,403,57,96
10/10/2020,33,81,292,69,84
11/10/2020,17,77,127,28,41
12/10/2020,13,79,39,24,46
13/10/2020,17,82,95,49,66
14/10/2020,40,139,365,100,105
15/10/2020,44,113,364,115,77
16/10/2020,35,189,369,73,88
17/10/2020,35,80,248,42,56
18/10/2020,10,72,123,7,18
19/10/2020,36,66,42,65,62
20/10/2020,34,83,319,141,84
21/10/2020,26,89,319,73,59
22/10/2020,47,84,259,61,46
23/10/2020,48,65,299,77,82
24/10/2020,28,79,227,44,54
25/10/2020,23,64,97,14,33
26/10/2020,25,99,38,52,49
27/10/2020,36,101,238,90,84
28/10/2020,24,96,299,61,30
29/10/2020,39,82,257,66,69
30/10/2020,19,90,291,48,60
31/10/2020,23,94,152,99,39
01/11/2020,20,63,61,21,25
02/11/2020,18,70,51,18,22
03/11/2020,22,73,46,75,27
04/11/2020,31,97,322,94,66
05/11/2020,37,96,329,85,83
06/11/2020,9,94,85,56,35
07/11/2020,27,57,70,78,22
08/11/2020,13,54,7,41,13
09/11/2020,41,60,12,103,15
10/11/2020,20,93,13,16,32
11/11/2020,28,65,272,151,55
12/11/2020,22,95,482,152,157
13/11/2020,41,96,230,59,30
14/11/2020,33,67,574,139,108
15/11/2020,18,53,39,19,11
16/11/2020,13,64,46,67,26
17/11/2020,44,76,371,141,53
18/11/2020,18,96,497,91,54
19/11/2020,29,76,320,109,72
20/11/2020,39,79,298,72,64
21/11/2020,22,75,167,78,34
22/11/2020,14,45,73,26,36
23/11/2020,32,61,100,79,30
24/11/2020,40,75,325,136,54
25/11/2020,31,108,329,145,41
26/11/2020,42,81,377,159,32
27/11/2020,27,96,243,133,15
28/11/2020,42,104,281,106,54
29/11/2020,19,65,119,43,26
30/11/2020,26,56,78,110,17
01/12/2020,21,103,321,195,57
02/12/2020,51,104,346,147,50
03/12/2020,49,92,397,184,33
04/12/2020,21,110,344,147,72
05/12/2020,31,96,329,165,43
06/12/2020,18,73,143,60,19
07/12/2020,35,100,78,120,43
08/12/2020,23,127,396,240,56
09/12/2020,29,101,451,192,63
10/12/2020,36,115,413,150,56
11/12/2020,37,102,325,168,40
12/12/2020,34,92,352,175,33
13/12/2020,20,74,108,44,33
14/12/2020,28,80,71,188,66
15/12/2020,46,131,428,285,74
16/12/2020,41,149,407,307,32
17/12/2020,50,131,604,218,89
18/12/2020,34,125,451,158,55
19/12/2020,48,113,361,139,45
20/12/2020,25,89,164,94,36
21/12/2020,30,77,158,156,106
22/12/2020,47,116,439,295,71
23/12/2020,52,134,486,202,87
24/12/2020,51,115,356,184,56
25/12/2020,30,87,246,99,44
26/12/2020,40,89,52,74,52
27/12/2020,33,91,89,98,33
28/12/2020,57,91,96,138,49
29/12/2020,64,142,509,300,96
30/12/2020,77,104,707,234,72
31/12/2020,76,128,604,214,52
01/01/2021,36,77,234,81,34
02/01/2021,49,101,89,49,26
03/01/2021,42,90,68,67,26
04/01/2021,52,90,124,158,119
05/01/2021,85,146,597,246,97
06/01/2021,138,124,655,241,84
07/01/2021,99,161,689,504,71
08/01/2021,40,143,578,127,74
09/01/2021,155,127,639,194,56
10/01/2021,52,104,228,59,26
11/01/2021,93,103,110,118,56
12/01/2021,114,130,530,268,68
13/01/2021,115,142,766,169,82
14/01/2021,94,135,670,181,51
15/01/2021,158,105,636,155,97
16/01/2021,113,146,646,100,45
17/01/2021,89,102,219,83,58
18/01/2021,171,93,102,41,45
19/01/2021,189,127,605,212,59
20/01/2021,181,125,756,145,133
21/01/2021,211,146,708,178,73
22/01/2021,168,173,549,119,87
23/01/2021,204,120,614,157,107
24/01/2021,126,101,240,79,46
25/01/2021,146,83,143,200,55
26/01/2021,252,146,531,202,83
27/01/2021,176,148,763,160,36
28/01/2021,173,137,673,318,85
29/01/2021,179,130,532,126,152
30/01/2021,295,132,600,165,87
31/01/2021,141,106,239,38,35
01/02/2021,198,105,158,87,47
02/02/2021,195,133,577,209,96
03/02/2021,204,189,624,126,111
04/02/2021,201,126,678,134,93
05/02/2021,150,152,712,141,84
06/02/2021,203,151,423,135,66
07/02/2021,126,96,202,36,62
08/02/2021,168,103,206,110,49
09/02/2021,236,178,570,247,119
10/02/2021,259,133,754,101,83
11/02/2021,228,188,706,143,86
12/02/2021,247,188,593,139,121
13/02/2021,157,139,504,152,91
14/02/2021,101,216,304,45,47
15/02/2021,180,145,86,54,63
16/02/2021,208,171,552,129,107
17/02/2021,131,177,562,158,122
18/02/2021,199,171,632,260,105
19/02/2021,207,190,638,173,100
20/02/2021,192,220,525,184,91
21/02/2021,81,144,193,72,37
22/02/2021,148,166,168,90,67
23/02/2021,143,241,565,305,132
24/02/2021,165,222,719,232,90
25/02/2021,179,250,728,280,104
26/02/2021,176,282,560,226,93
27/02/2021,149,296,589,285,67
28/02/2021,73,214,254,127,53
01/03/2021,172,226,120,175,85
02/03/2021,183,305,628,450,75
03/03/2021,162,326,799,389,234
04/03/2021,227,354,600,385,133
05/03/2021,207,350,709,382,152
06/03/2021,117,323,625,408,82
07/03/2021,111,255,230,396,94
08/03/2021,148,314,178,230,117
09/03/2021,164,372,698,589,149
10/03/2021,220,424,795,601,246
11/03/2021,206,382,910,475,260
12/03/2021,205,360,891,492,268
13/03/2021,155,332,754,601,155
14/03/2021,108,311,340,245,123
15/03/2021,157,343,164,285,108
16/03/2021,207,423,857,978,376
17/03/2021,217,448,1106,638,239
18/03/2021,250,514,1071,615,274
19/03/2021,166,519,1031,793,306
20/03/2021,182,378,1050,579,249
21/03/2021,125,338,522,176,129
22/03/2021,153,301,196,476,257
23/03/2021,177,574,1303,836,361
24/03/2021,202,364,761,510,172
25/03/2021,157,692,916,676,336
26/03/2021,229,424,1757,807,433
27/03/2021,184,548,1832,617,257
28/03/2021,132,350,678,272,224
29/03/2021,168,340,496,409,247
30/03/2021,173,602,1715,801,489
31/03/2021,192,690,1925,633,429
01/04/2021,192,568,1928,689,392
02/04/2021,216,471,1456,515,264
03/04/2021,144,372,967,340,164
04/04/2021,77,320,481,159,203
05/04/2021,159,302,291,288,279
06/04/2021,167,707,1927,922,472
07/04/2021,198,707,1714,741,469
08/04/2021,228,569,2243,797,412
09/04/2021,187,604,1909,667,326
10/04/2021,169,510,1339,367,231
11/04/2021,121,303,1052,150,177
12/04/2021,129,433,335,332,251
13/04/2021,211,519,1790,845,443
14/04/2021,241,449,1975,443,351
15/04/2021,214,394,1967,600,385
16/04/2021,184,807,1586,446,282
17/04/2021,214,461,1626,320,308
18/04/2021,170,325,848,164,150
19/04/2021,145,288,472,236,206
20/04/2021,252,414,1689,544,422
21/04/2021,236,617,1848,438,333
22/04/2021,178,401,914,286,248
23/04/2021,173,540,1322,561,318
24/04/2021,167,507,1636,530,236
25/04/2021,99,312,568,161,165
26/04/2021,134,324,290,227,164
27/04/2021,215,508,1562,458,343
28/04/2021,214,502,1714,443,290
29/04/2021,180,503,1701,436,181
30/04/2021,162,314,1462,439,218
01/05/2021,158,675,1319,353,151
02/05/2021,81,268,601,112,140
03/05/2021,113,309,262,166,133
04/05/2021,120,545,1332,686,283
05/05/2021,190,386,1524,453,258
06/05/2021,124,355,1418,440,213
07/05/2021,126,402,1146,330,161
08/05/2021,108,449,1221,289,135
09/05/2021,60,322,470,69,103
10/05/2021,85,227,205,230,142
11/05/2021,105,414,1250,344,198
12/05/2021,136,511,1404,281,162
13/05/2021,172,512,1184,286,229
14/05/2021,108,377,1199,310,217
15/05/2021,110,361,1059,426,131
16/05/2021,93,215,523,132,73
17/05/2021,0,0,0,0,0
18/05/2021,71,288,205,102,120
