,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Unnamed: 1,(N),(NE),(SE),(S),(CO)
26/02/2020,0,0,0,0,0
27/02/2020,0,0,0,0,0
28/02/2020,0,0,0,0,0
29/02/2020,0,0,0,0,0
01/03/2020,0,0,0,0,0
02/03/2020,0,0,0,0,0
03/03/2020,0,0,0,0,0
04/03/2020,0,0,0,0,0
05/03/2020,0,0,0,0,0
06/03/2020,0,0,0,0,0
07/03/2020,0,0,0,0,0
08/03/2020,0,0,0,0,0
09/03/2020,0,0,0,0,0
10/03/2020,0,0,0,0,0
11/03/2020,0,0,0,0,0
12/03/2020,0,0,0,0,0
13/03/2020,0,0,0,0,0
14/03/2020,0,0,0,0,0
15/03/2020,0,0,0,0,0
16/03/2020,0,0,0,0,0
17/03/2020,0,0,1,0,0
18/03/2020,0,0,3,0,0
19/03/2020,0,0,2,0,0
20/03/2020,0,0,5,0,0
21/03/2020,0,0,7,0,0
22/03/2020,0,0,7,0,0
23/03/2020,0,0,9,0,0
24/03/2020,0,0,12,0,0
25/03/2020,1,1,8,1,0
26/03/2020,0,5,13,1,1
27/03/2020,0,1,11,3,0
28/03/2020,0,3,19,0,0
29/03/2020,0,3,18,0,1
30/03/2020,0,4,17,2,0
31/03/2020,3,5,29,2,3
01/04/2020,0,5,34,0,0
02/04/2020,1,16,39,2,1
03/04/2020,4,8,42,3,3
04/04/2020,7,8,53,3,2
05/04/2020,3,19,22,9,1
06/04/2020,7,14,39,2,5
07/04/2020,7,11,87,6,3
08/04/2020,9,38,77,7,2
09/04/2020,12,32,85,10,2
10/04/2020,14,21,72,6,2
11/04/2020,5,25,30,5,3
12/04/2020,14,27,46,8,4
13/04/2020,12,41,46,1,5
14/04/2020,24,39,130,9,2
15/04/2020,20,51,128,5,0
16/04/2020,26,35,117,4,6
17/04/2020,24,67,121,5,0
18/04/2020,23,54,116,7,6
19/04/2020,25,46,41,3,0
20/04/2020,8,47,47,9,2
21/04/2020,11,55,99,0,1
22/04/2020,21,60,73,8,3
23/04/2020,42,91,263,7,4
24/04/2020,46,89,210,9,3
25/04/2020,46,81,209,8,2
26/04/2020,37,77,70,4,1
27/04/2020,38,121,164,11,4
28/04/2020,53,111,301,6,3
29/04/2020,46,118,275,10,0
30/04/2020,123,107,197,4,4
01/05/2020,84,107,222,15,0
02/05/2020,76,201,132,9,3
03/05/2020,91,74,101,6,3
04/05/2020,70,133,82,10,1
05/05/2020,116,193,270,13,8
06/05/2020,138,164,291,14,7
07/05/2020,86,145,369,10,1
08/05/2020,184,221,334,3,9
09/05/2020,159,207,356,6,2
10/05/2020,128,186,172,5,5
11/05/2020,100,170,107,14,5
12/05/2020,246,231,386,12,6
13/05/2020,162,250,320,4,13
14/05/2020,218,186,414,16,10
15/05/2020,192,219,395,8,10
16/05/2020,124,298,378,11,5
17/05/2020,101,152,215,13,4
18/05/2020,138,316,200,7,13
19/05/2020,279,296,580,15,9
20/05/2020,204,252,400,21,11
21/05/2020,313,440,406,13,16
22/05/2020,160,307,504,13,17
23/05/2020,160,231,556,11,7
24/05/2020,177,211,244,9,12
25/05/2020,265,314,192,24,12
26/05/2020,215,298,485,21,20
27/05/2020,138,354,563,14,17
28/05/2020,264,294,561,16,21
29/05/2020,203,351,542,7,21
30/05/2020,133,311,484,15,13
31/05/2020,54,218,179,14,15
01/06/2020,46,362,187,19,9
02/06/2020,179,413,612,24,34
03/06/2020,220,425,657,23,24
04/06/2020,307,468,657,21,20
05/06/2020,186,285,492,26,16
06/06/2020,149,285,432,19,19
07/06/2020,106,197,189,13,20
08/06/2020,147,353,160,11,8
09/06/2020,183,480,533,28,48
10/06/2020,172,427,592,42,41
11/06/2020,198,437,556,14,34
12/06/2020,160,369,316,33,31
13/06/2020,110,281,432,27,42
