,Brasil
06/07/2020,620
07/07/2020,1254
08/07/2020,1223
09/07/2020,1220
10/07/2020,1214
11/07/2020,1071
12/07/2020,631
13/07/2020,733
14/07/2020,1300
15/07/2020,1233
16/07/2020,1322
17/07/2020,1163
18/07/2020,921
19/07/2020,716
20/07/2020,632
21/07/2020,1367
22/07/2020,1284
23/07/2020,1311
24/07/2020,1156
25/07/2020,1211
26/07/2020,555
27/07/2020,614
28/07/2020,921
29/07/2020,1595
30/07/2020,1129
31/07/2020,1212
01/08/2020,1088
02/08/2020,541
03/08/2020,561
04/08/2020,1154
05/08/2020,1437
06/08/2020,1237
07/08/2020,1079
08/08/2020,905
09/08/2020,572
10/08/2020,703
11/08/2020,1274
12/08/2020,1175
13/08/2020,1262
14/08/2020,1060
15/08/2020,709
16/08/2020,620
17/08/2020,684
18/08/2020,1352
19/08/2020,1212
20/08/2020,1204
21/08/2020,1054
22/08/2020,892
23/08/2020,494
24/08/2020,565
25/08/2020,1271
26/08/2020,1085
27/08/2020,984
28/08/2020,855
29/08/2020,758
30/08/2020,566
31/08/2020,553
01/09/2020,1215
02/09/2020,1184
03/09/2020,834
04/09/2020,888
05/09/2020,701
06/09/2020,447
07/09/2020,310
08/09/2020,504
09/09/2020,1075
10/09/2020,983
11/09/2020,874
12/09/2020,814
13/09/2020,415
14/09/2020,381
15/09/2020,1113
16/09/2020,987
17/09/2020,829
18/09/2020,858
19/09/2020,739
20/09/2020,363
21/09/2020,377
22/09/2020,836
23/09/2020,869
24/09/2020,831
25/09/2020,729
26/09/2020,869
27/09/2020,335
28/09/2020,317
29/09/2020,863
30/09/2020,1031
01/10/2020,728
02/10/2020,708
03/10/2020,599
04/10/2020,365
05/10/2020,323
06/10/2020,819
07/10/2020,734
08/10/2020,729
09/10/2020,682
10/10/2020,559
11/10/2020,290
12/10/2020,201
13/10/2020,309
14/10/2020,749
15/10/2020,713
16/10/2020,754
17/10/2020,461
18/10/2020,230
19/10/2020,271
20/10/2020,661
21/10/2020,566
22/10/2020,497
23/10/2020,571
24/10/2020,432
25/10/2020,231
26/10/2020,263
27/10/2020,549
28/10/2020,510
29/10/2020,513
30/10/2020,508
31/10/2020,407
01/11/2020,190
02/11/2020,179
03/11/2020,243
04/11/2020,610
05/11/2020,630
06/11/2020,279
07/11/2020,254
08/11/2020,128
09/11/2020,231
10/11/2020,174
11/11/2020,571
12/11/2020,908
13/11/2020,456
14/11/2020,921
15/11/2020,140
16/11/2020,216
17/11/2020,685
18/11/2020,756
19/11/2020,606
20/11/2020,552
21/11/2020,376
22/11/2020,194
23/11/2020,302
24/11/2020,630
25/11/2020,654
26/11/2020,691
27/11/2020,514
28/11/2020,587
29/11/2020,272
30/11/2020,287
01/12/2020,697
02/12/2020,698
03/12/2020,755
04/12/2020,694
05/12/2020,664
06/12/2020,313
07/12/2020,376
08/12/2020,842
09/12/2020,836
10/12/2020,770
11/12/2020,672
12/12/2020,686
13/12/2020,279
14/12/2020,433
15/12/2020,964
16/12/2020,936
17/12/2020,1092
18/12/2020,823
19/12/2020,706
20/12/2020,408
21/12/2020,527
22/12/2020,968
23/12/2020,961
24/12/2020,762
25/12/2020,506
26/12/2020,307
27/12/2020,344
28/12/2020,431
29/12/2020,1111
30/12/2020,1194
31/12/2020,1074
01/01/2021,462
02/01/2021,314
03/01/2021,293
04/01/2021,543
05/01/2021,1171
06/01/2021,1242
07/01/2021,1524
08/01/2021,962
09/01/2021,1171
10/01/2021,469
11/01/2021,480
12/01/2021,1110
13/01/2021,1274
14/01/2021,1131
15/01/2021,1151
16/01/2021,1050
17/01/2021,551
18/01/2021,452
19/01/2021,1192
20/01/2021,1340
21/01/2021,1316
22/01/2021,1096
23/01/2021,1202
24/01/2021,592
25/01/2021,627
26/01/2021,1214
27/01/2021,1283
28/01/2021,1386
29/01/2021,1119
30/01/2021,1279
31/01/2021,559
01/02/2021,595
02/02/2021,1210
03/02/2021,1254
04/02/2021,1232
05/02/2021,1239
06/02/2021,978
07/02/2021,522
08/02/2021,636
09/02/2021,1350
10/02/2021,1330
11/02/2021,1351
12/02/2021,1288
13/02/2021,1043
14/02/2021,713
15/02/2021,528
16/02/2021,1167
17/02/2021,1150
18/02/2021,1367
19/02/2021,1308
20/02/2021,1212
21/02/2021,527
22/02/2021,639
23/02/2021,1386
24/02/2021,1428
25/02/2021,1541
26/02/2021,1337
27/02/2021,1386
28/02/2021,721
01/03/2021,778
02/03/2021,1641
03/03/2021,1910
04/03/2021,1699
05/03/2021,1800
06/03/2021,1555
07/03/2021,1086
08/03/2021,987
09/03/2021,1972
10/03/2021,2286
11/03/2021,2233
12/03/2021,2216
13/03/2021,1997
14/03/2021,1127
15/03/2021,1057
16/03/2021,2841
17/03/2021,2648
18/03/2021,2724
19/03/2021,2815
20/03/2021,2438
21/03/2021,1290
22/03/2021,1383
23/03/2021,3251
24/03/2021,2009
25/03/2021,2777
26/03/2021,3650
27/03/2021,3438
28/03/2021,1656
29/03/2021,1660
30/03/2021,3780
31/03/2021,3869
01/04/2021,3769
02/04/2021,2922
03/04/2021,1987
04/04/2021,1240
05/04/2021,1319
06/04/2021,4195
07/04/2021,3829
08/04/2021,4249
09/04/2021,3693
10/04/2021,2616
11/04/2021,1803
12/04/2021,1480
13/04/2021,3808
14/04/2021,3459
15/04/2021,3560
16/04/2021,3305
17/04/2021,2929
18/04/2021,1657
19/04/2021,1347
20/04/2021,3321
21/04/2021,3472
22/04/2021,2027
23/04/2021,2914
24/04/2021,3076
