,Brasil
Unnamed: 1,BR
26/02/2020,0
27/02/2020,0
28/02/2020,0
29/02/2020,0
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,0
07/03/2020,0
08/03/2020,0
09/03/2020,0
10/03/2020,0
11/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
17/03/2020,1
18/03/2020,3
19/03/2020,2
20/03/2020,5
21/03/2020,7
22/03/2020,7
23/03/2020,9
24/03/2020,12
25/03/2020,11
26/03/2020,20
27/03/2020,15
28/03/2020,22
29/03/2020,22
30/03/2020,23
31/03/2020,42
01/04/2020,39
02/04/2020,59
03/04/2020,60
04/04/2020,73
05/04/2020,54
06/04/2020,67
07/04/2020,114
08/04/2020,133
09/04/2020,141
10/04/2020,115
11/04/2020,68
12/04/2020,99
13/04/2020,105
14/04/2020,204
15/04/2020,204
16/04/2020,188
17/04/2020,217
18/04/2020,206
19/04/2020,115
20/04/2020,113
21/04/2020,166
22/04/2020,165
23/04/2020,407
24/04/2020,357
25/04/2020,346
26/04/2020,189
27/04/2020,338
28/04/2020,474
29/04/2020,449
30/04/2020,435
01/05/2020,428
02/05/2020,421
03/05/2020,275
04/05/2020,296
05/05/2020,600
06/05/2020,614
07/05/2020,611
08/05/2020,751
09/05/2020,730
10/05/2020,496
11/05/2020,396
12/05/2020,881
13/05/2020,749
14/05/2020,844
15/05/2020,824
16/05/2020,816
17/05/2020,485
18/05/2020,674
19/05/2020,1179
20/05/2020,888
21/05/2020,1188
22/05/2020,1001
23/05/2020,965
24/05/2020,653
25/05/2020,807
26/05/2020,1039
27/05/2020,1086
28/05/2020,1156
29/05/2020,1124
30/05/2020,956
31/05/2020,480
01/06/2020,623
02/06/2020,1262
03/06/2020,1349
04/06/2020,1473
05/06/2020,1005
06/06/2020,904
07/06/2020,525
08/06/2020,679
09/06/2020,1272
10/06/2020,1274
11/06/2020,1239
12/06/2020,909
13/06/2020,892
14/06/2020,612
15/06/2020,627
16/06/2020,1282
17/06/2020,1269
18/06/2020,1238
19/06/2020,1206
20/06/2020,1022
21/06/2020,641
22/06/2020,654
23/06/2020,1374
24/06/2020,1185
25/06/2020,1141
26/06/2020,990
27/06/2020,1109
28/06/2020,552
29/06/2020,692
30/06/2020,1280
01/07/2020,1038
02/07/2020,1252
03/07/2020,1290
04/07/2020,1091
05/07/2020,602
