Data,IGPDI,ICMS
2004.12,326.833,135194.0
2005.01,327.915,142991.0
2005.02,329.241,118198.0
2005.03,332.49,114000.0
2005.04,334.17,139397.0
2005.05,333.321,127117.0
2005.06,331.823,130301.0
2005.07,330.484,132593.0
2005.08,327.887,135271.0
2005.09,327.454,144960.0
2005.1,329.529,135919.0
2005.11,330.619,140813.0
2005.12,330.835,154900.0
2006.01,333.222,160940.0
2006.02,333.03,143668.0
2006.03,331.531,138134.0
2006.04,331.607,138978.0
2006.05,332.851,157720.0
2006.06,335.067,153122.0
2006.07,335.637,149640.0
2006.08,337.011,167893.0
2006.09,337.817,191827.0
2006.1,340.541,166201.0
2006.11,342.482,170824.0
2006.12,343.384,174588.0
2007.01,344.85,175382.0
2007.02,345.652,151886.0
2007.03,346.407,147664.0
2007.04,346.878,155284.0
2007.05,347.421,153011.0
2007.06,348.328,167111.0
2007.07,349.628,163079.0
2007.08,354.495,166144.0
2007.09,358.633,177128.0
2007.1,361.308,178144.0
2007.11,365.1,184082.0
2007.12,370.485,187313.0
2008.01,374.139,198151.0
2008.02,375.558,179522.0
2008.03,378.194,166000.0
2008.04,382.414,175743.0
2008.05,389.585,171819.0
2008.06,396.954,181143.0
2008.07,401.406,191449.0
2008.08,399.87,198182.0
2008.09,401.327,194753.0
2008.1,405.707,203747.0
2008.11,405.982,197719.0
2008.12,404.185,198251.0
2009.01,404.244,207860.0
2009.02,403.737,183672.0
2009.03,400.353,179982.0
2009.04,400.53,186930.0
2009.05,401.232,188008.0
2009.06,399.966,188409.0
2009.07,397.393,202472.0
2009.08,397.758,201147.0
2009.09,398.738,208412.0
2009.1,398.575,220249.0
2009.11,398.857,222598.0
2009.12,398.407,227751.0
2010.01,402.425,246070.0
2010.02,406.826,212791.0
2010.03,409.399,206510.0
2010.04,412.341,237949.0
2010.05,418.811,225269.0
2010.06,420.241,231375.0
2010.07,421.154,235062.0
2010.08,425.788,238839.0
2010.09,430.453,235593.0
2010.1,434.882,248624.0
2010.11,441.754,234778.0
2010.12,443.427,289218.0
2011.01,447.764,241446.0
2011.02,452.047,243854.0
2011.03,454.805,238150.0
