Data,Preços - IGP-DI - geral - índice (ago. 1994 = 100) - - - Fundação Getulio Vargas- Conjuntura Econômica - IGP (FGV/Conj. Econ. - IGP) - IGP12_IGPDI12,
1944.01,8.371376E-14,
1944.02,8.4927E-14,
1944.03,8.614024E-14,
1944.04,8.735348E-14,
1944.05,8.856673E-14,
1944.06,8.977997E-14,
1944.07,9.099321E-14,
1944.08,9.220646E-14,
1944.09,9.34197E-14,
1944.10,9.584618E-14,
1944.11,9.827267E-14,
1944.12,9.827267E-14,
1945.01,9.948591E-14,
1945.02,1.019124E-13,
1945.03,1.006991E-13,
1945.04,1.006991E-13,
1945.05,1.019124E-13,
1945.06,1.031256E-13,
1945.07,1.043388E-13,
1945.08,1.055521E-13,
1945.09,1.055521E-13,
1945.10,1.067653E-13,
1945.11,1.079786E-13,
1945.12,1.091918E-13,
1946.01,1.104051E-13,
1946.02,1.116183E-13,
1946.03,1.128315E-13,
1946.04,1.140448E-13,
1946.05,1.15258E-13,
1946.06,1.188978E-13,
1946.07,1.213242E-13,
1946.08,1.261772E-13,
1946.09,1.298169E-13,
1946.10,1.310302E-13,
1946.11,1.322434E-13,
1946.12,1.334567E-13,
1947.01,1.383096E-13,
1947.02,1.395229E-13,
1947.03,1.407361E-13,
1947.04,1.370964E-13,
1947.05,1.358832E-13,
1947.06,1.346699E-13,
1947.07,1.322434E-13,
1947.08,1.322434E-13,
1947.09,1.334567E-13,
1947.10,1.334567E-13,
1947.11,1.346699E-13,
1947.12,1.370964E-13,
1948.01,1.407361E-13,
1948.02,1.443759E-13,
1948.03,1.468023E-13,
1948.04,1.455891E-13,
1948.05,1.443759E-13,
1948.06,1.455891E-13,
1948.07,1.443759E-13,
1948.08,1.455891E-13,
1948.09,1.455891E-13,
1948.10,1.455891E-13,
1948.11,1.468023E-13,
1948.12,1.480156E-13,
1949.01,1.504421E-13,
1949.02,1.516553E-13,
1949.03,1.516553E-13,
1949.04,1.516553E-13,
1949.05,1.516553E-13,
1949.06,1.516553E-13,
1949.07,1.528686E-13,
1949.08,1.540818E-13,
1949.09,1.55295E-13,
1949.10,1.589348E-13,
1949.11,1.662142E-13,
1949.12,1.662142E-13,
1950.01,1.686407E-13,
1950.02,1.686407E-13,
1950.03,1.65001E-13,
1950.04,1.637877E-13,
1950.05,1.65001E-13,
1950.06,1.662142E-13,
1950.07,1.69854E-13,
1950.08,1.747069E-13,
1950.09,1.795599E-13,
1950.10,1.844129E-13,
1950.11,1.844129E-13,
1950.12,1.868394E-13,
1951.01,1.929056E-13,
1951.02,1.953321E-13,
1951.03,2.00185E-13,
1951.04,2.026115E-13,
1951.05,2.05038E-13,
1951.06,2.026115E-13,
1951.07,1.977585E-13,
1951.08,2.00185E-13,
1951.09,2.013983E-13,
1951.10,2.05038E-13,
1951.11,2.062512E-13,
1951.12,2.09891E-13,
1952.01,2.171704E-13,
1952.02,2.208102E-13,
1952.03,2.208102E-13,
1952.04,2.208102E-13,
1952.05,2.220234E-13,
1952.06,2.232366E-13,
1952.07,2.268764E-13,
1952.08,2.280896E-13,
1952.09,2.268764E-13,
1952.10,2.280896E-13,
1952.11,2.341558E-13,
1952.12,2.365823E-13,
1953.01,2.390088E-13,
1953.02,2.414353E-13,
1953.03,2.475015E-13,
1953.04,2.475015E-13,
1953.05,2.462883E-13,
1953.06,2.49928E-13,
1953.07,2.54781E-13,
1953.08,2.644869E-13,
1953.09,2.681266E-13,
1953.10,2.754061E-13,
1953.11,2.790458E-13,
1953.12,2.85112E-13,
1954.01,2.934773E-13,
1954.02,3.007416E-13,
1954.03,3.065531E-13,
1954.04,3.181759E-13,
1954.05,3.239874E-13,
1954.06,3.283459E-13,
1954.07,3.327045E-13,
1954.08,3.356102E-13,
1954.09,3.443274E-13,
1954.10,3.457802E-13,
1954.11,3.530445E-13,
1954.12,3.58856E-13,
1955.01,3.646674E-13,
1955.02,3.646674E-13,
1955.03,3.675731E-13,
1955.04,3.748374E-13,
1955.05,3.748374E-13,
1955.06,3.748374E-13,
1955.07,3.79196E-13,
1955.08,3.864603E-13,
1955.09,3.951774E-13,
1955.10,3.99536E-13,
1955.11,4.009889E-13,
1955.12,4.024417E-13,
1956.01,4.09706E-13,
1956.02,4.213289E-13,
1956.03,4.271403E-13,
1956.04,4.285932E-13,
1956.05,4.416689E-13,
1956.06,4.547446E-13,
1956.07,4.620089E-13,
1956.08,4.707261E-13,
1956.09,4.867075E-13,
1956.10,4.939718E-13,
1956.11,4.997832E-13,
1956.12,5.012361E-13,
1957.01,5.23029E-13,
1957.02,5.23029E-13,
1957.03,5.215761E-13,
1957.04,5.201233E-13,
1957.05,5.186704E-13,
1957.06,5.186704E-13,
1957.07,5.201233E-13,
1957.08,5.23029E-13,
1957.09,5.215761E-13,
1957.10,5.23029E-13,
1957.11,5.288404E-13,
1957.12,5.361047E-13,
1958.01,5.43369E-13,
1958.02,5.462747E-13,
1958.03,5.53539E-13,
1958.04,5.608033E-13,
1958.05,5.709733E-13,
1958.06,5.724262E-13,
1958.07,5.825962E-13,
1958.08,5.94219E-13,
1958.09,6.116533E-13,
1958.10,6.334462E-13,
1958.11,6.595977E-13,
1958.12,6.668619E-13,
1959.01,6.944663E-13,
1959.02,7.438634E-13,
1959.03,7.554863E-13,
1959.04,7.714677E-13,
1959.05,7.801849E-13,
1959.06,7.88902E-13,
1959.07,8.063363E-13,
1959.08,8.441107E-13,
1959.09,8.659035E-13,
1959.10,8.862436E-13,
1959.11,9.182064E-13,
1959.12,9.298293E-13,
1960.01,9.443579E-13,
1960.02,9.676036E-13,
1960.03,9.821322E-13,
1960.04,9.981137E-13,
1960.05,9.995665E-13,
1960.06,1.005377E-12,
1960.07,1.025718E-12,
1960.08,1.056228E-12,
1960.09,1.09836E-12,
1960.10,1.153569E-12,
1960.11,1.188438E-12,
1960.12,1.213136E-12,
1961.01,1.236382E-12,
1961.02,1.240741E-12,
1961.03,1.266892E-12,
1961.04,1.329365E-12,
1961.05,1.348252E-12,
1961.06,1.368592E-12,
1961.07,1.388932E-12,
1961.08,1.461575E-12,
1961.09,1.522595E-12,
1961.10,1.648994E-12,
1961.11,1.728901E-12,
1961.12,1.792827E-12,
1962.01,1.887263E-12,
1962.02,1.919225E-12,
1962.03,1.951188E-12,
1962.04,1.96717E-12,
1962.05,2.045624E-12,
1962.06,2.109549E-12,
1962.07,2.205439E-12,
1962.08,2.267911E-12,
1962.09,2.315856E-12,
1962.10,2.379782E-12,
1962.11,2.55764E-12,
1962.12,2.717978E-12,
1963.01,2.955898E-12,
1963.02,3.131752E-12,
1963.03,3.30502E-12,
1963.04,3.356742E-12,
1963.05,3.493804E-12,
1963.06,3.669658E-12,
1963.07,3.806721E-12,
1963.08,3.94637E-12,
1963.09,4.163601E-12,
1963.10,4.419624E-12,
1963.11,4.616166E-12,
1963.12,4.890292E-12,
1964.01,5.441128E-12,
1964.02,5.808353E-12,
1964.03,6.24023E-12,
1964.04,6.514355E-12,
1964.05,6.690209E-12,
1964.06,6.979851E-12,
1964.07,7.42983E-12,
1964.08,7.647061E-12,
1964.09,7.934117E-12,
1964.10,8.288411E-12,
1964.11,8.865109E-12,
1964.12,9.395257E-12,
1965.01,9.847822E-12,
1965.02,1.015556E-11,
1965.03,1.076588E-11,
1965.04,1.101932E-11,
1965.05,1.12081E-11,
1965.06,1.13374E-11,
1965.07,1.164774E-11,
1965.08,1.178738E-11,
1965.09,1.202013E-11,
1965.10,1.226322E-11,
1965.11,1.237443E-11,
1965.12,1.261235E-11,
1966.01,1.357954E-11,
1966.02,1.397263E-11,
1966.03,1.433727E-11,
1966.04,1.501224E-11,
1966.05,1.536136E-11,
1966.06,1.564583E-11,
1966.07,1.616563E-11,
1966.08,1.651992E-11,
1966.09,1.691301E-11,
1966.10,1.725955E-11,
1966.11,1.742764E-11,
1966.12,1.75466E-11,
1967.01,1.83276E-11,
1967.02,1.877241E-11,
1967.03,1.920428E-11,
1967.04,1.968788E-11,
1967.05,1.994908E-11,
1967.06,2.010941E-11,
1967.07,2.067577E-11,
1967.08,2.084904E-11,
1967.09,2.116454E-11,
1967.10,2.148263E-11,
1967.11,2.181623E-11,
1967.12,2.193519E-11,
1968.01,2.265671E-11,
1968.02,2.318686E-11,
1968.03,2.366787E-11,
1968.04,2.419285E-11,
1968.05,2.455749E-11,
1968.06,2.521694E-11,
1968.07,2.557382E-11,
1968.08,2.587898E-11,
1968.09,2.635223E-11,
1968.10,2.694703E-11,
1968.11,2.734787E-11,
1968.12,2.752631E-11,
1969.01,2.799181E-11,
1969.02,2.839007E-11,
1969.03,2.854006E-11,
1969.04,2.889953E-11,
1969.05,2.923055E-11,
1969.06,2.986414E-11,
1969.07,3.055204E-11,
1969.08,3.106926E-11,
1969.09,3.175457E-11,
1969.10,3.227349E-11,
1969.11,3.274671E-11,
1969.12,3.284136E-11,
1970.01,3.325148E-11,
1970.02,3.37247E-11,
1970.03,3.437143E-11,
1970.04,3.448185E-11,
1970.05,3.503393E-11,
1970.06,3.580686E-11,
1970.07,3.642204E-11,
1970.08,3.725806E-11,
1970.09,3.799944E-11,
1970.10,3.85673E-11,
1970.11,3.8867E-11,
1970.12,3.916671E-11,
1971.01,3.979767E-11,
1971.02,4.041285E-11,
1971.03,4.121732E-11,
1971.04,4.193097E-11,
1971.05,4.270107E-11,
1971.06,4.367634E-11,
1971.07,4.432798E-11,
1971.08,4.473919E-11,
1971.09,4.53828E-11,
1971.10,4.593537E-11,
1971.11,4.640343E-11,
1971.12,4.679214E-11,
1972.01,4.756997E-11,
1972.02,4.850486E-11,
1972.03,4.928942E-11,
1972.04,4.981952E-11,
1972.05,5.024857E-11,
1972.06,5.078807E-11,
1972.07,5.148821E-11,
1972.08,5.222296E-11,
1972.09,5.280695E-11,
1972.10,5.330181E-11,
1972.11,5.37651E-11,
1972.12,5.41486E-11,
1973.01,5.504442E-11,
1973.02,5.568511E-11,
1973.03,5.648524E-11,
1973.04,5.730527E-11,
1973.05,5.791222E-11,
1973.06,5.845342E-11,
1973.07,5.905547E-11,
1973.08,5.964994E-11,
1973.09,6.026653E-11,
1973.10,6.114946E-11,
1973.11,6.190713E-11,
1973.12,6.256542E-11,
1974.01,6.44014E-11,
1974.02,6.611328E-11,
1974.03,6.909536E-11,
1974.04,7.26445E-11,
1974.05,7.519365E-11,
1974.06,7.668303E-11,
1974.07,7.75941E-11,
1974.08,7.859423E-11,
1974.09,7.989667E-11,
1974.10,8.109841E-11,
1974.11,8.237055E-11,
1974.12,8.41793E-11,
1975.01,8.606051E-11,
1975.02,8.801528E-11,
1975.03,8.939904E-11,
1975.04,9.100344E-11,
1975.05,9.293923E-11,
1975.06,9.50065E-11,
1975.07,9.701259E-11,
1975.08,9.971708E-11,
1975.09,1.020188E-10,
1975.10,1.043168E-10,
1975.11,1.065641E-10,
1975.12,1.088875E-10,
1976.01,1.122558E-10,
1976.02,1.169144E-10,
1976.03,1.212282E-10,
1976.04,1.257819E-10,
1976.05,1.30066E-10,
1976.06,1.335386E-10,
1976.07,1.386233E-10,
1976.08,1.443009E-10,
1976.09,1.492551E-10,
1976.10,1.527711E-10,
1976.11,1.556813E-10,
1976.12,1.592548E-10,
1977.01,1.652064E-10,
1977.02,1.704398E-10,
1977.03,1.775158E-10,
1977.04,1.847523E-10,
1977.05,1.913695E-10,
1977.06,1.951271E-10,
1977.07,1.991574E-10,
1977.08,2.017426E-10,
1977.09,2.053165E-10,
1977.10,2.10945E-10,
1977.11,2.164515E-10,
1977.12,2.210135E-10,
1978.01,2.268921E-10,
1978.02,2.346064E-10,
1978.03,2.423365E-10,
1978.04,2.504698E-10,
1978.05,2.585073E-10,
1978.06,2.678934E-10,
1978.07,2.75454E-10,
1978.08,2.828E-10,
1978.09,2.900214E-10,
1978.10,2.983457E-10,
1978.11,3.065498E-10,
1978.12,3.11207E-10,
1979.01,3.226508E-10,
1979.02,3.347431E-10,
1979.03,3.54071E-10,
1979.04,3.674342E-10,
1979.05,3.760308E-10,
1979.06,3.889879E-10,
1979.07,4.059408E-10,
1979.08,4.296261E-10,
1979.09,4.626804E-10,
1979.10,4.869682E-10,
1979.11,5.140737E-10,
1979.12,5.516021E-10,
1980.01,5.860237E-10,
1980.02,6.106183E-10,
1980.03,6.507523E-10,
1980.04,6.880058E-10,
1980.05,7.31977E-10,
1980.06,7.749001E-10,
1980.07,8.403514E-10,
1980.08,8.984787E-10,
1980.09,9.459265E-10,
1980.10,1.018261E-09,
1980.11,1.09514E-09,
1980.12,1.159685E-09,
1981.01,1.235792E-09,
1981.02,1.340589E-09,
1981.03,1.439346E-09,
1981.04,1.518076E-09,
1981.05,1.612085E-09,
1981.06,1.684094E-09,
1981.07,1.769604E-09,
1981.08,1.888716E-09,
1981.09,1.9845E-09,
1981.10,2.070886E-09,
1981.11,2.180857E-09,
1981.12,2.26366E-09,
1982.01,2.405944E-09,
1982.02,2.570738E-09,
