Data,Imposto sobre a circulação de mercadorias (ICMS) - Rio Grande do Norte (RN) - R$ - Ministério da Economia- Sistema de Informação Contábeis e Fiscais do Setor Público Brasileiro (Min. Economia/Siconfi) - CONFAZ12_ICMSRN12
1993.01,182535
1993.02,213804
1993.03,240967
1993.04,329944
1993.05,393974
1993.06,527242
1993.07,678701
1993.08,930193
1993.09,1196476
1993.10,1564098
1993.11,2404435
1993.12,3215048
1994.01,12867
1994.02,11240
1994.03,10377
1994.04,10713
1994.05,11656
1994.06,12332
1994.07,11986
1994.08,17575
1994.09,19817
1994.10,20071
1994.11,21167
1994.12,22970
1995.01,26299
1995.02,28176
1995.03,21923
1995.04,22396
1995.05,20345
1995.06,23977
1995.07,24454
1995.08,24566
1995.09,25892
1995.10,27182
1995.11,25808
1995.12,26413
1996.01,31989
1996.02,28471
1996.03,26043
1996.04,28972
1996.05,29091
1996.06,31481
1996.07,31144
1996.08,32389
1996.09,34578
1996.10,32366
1996.11,37441
1996.12,34884
1997.01,36820
1997.02,36644
1997.03,33664
1997.04,38179
1997.05,37492
1997.06,36599
1997.07,39457
1997.08,39156
1997.09,40261
1997.10,39970
1997.11,37491
1997.12,43165
1998.01,45063
1998.02,41883
1998.03,38899
1998.04,39884
1998.05,42403
1998.06,41517
1998.07,40184
1998.08,40962
1998.09,40735
1998.10,47585
1998.11,46354
1998.12,44678
1999.01,51706
1999.02,47141
1999.03,42460
1999.04,50595
1999.05,44251
1999.06,48444
1999.07,45532
1999.08,51081
1999.09,56955
1999.10,55811
1999.11,55009
1999.12,65288
2000.01,65328
2000.02,54990
2000.03,60681
2000.04,59267
2000.05,59970
2000.06,64976
2000.07,64035
2000.08,67846
2000.09,63832
2000.10,74735
2000.11,80519
2000.12,75354
2001.01,74668
2001.02,72120
2001.03,68891
2001.04,70215
2001.05,74232
2001.06,78714
2001.07,74257
2001.08,73580
2001.09,79432
2001.10,74932
2001.11,79087
2001.12,91216
2002.01,82435
2002.02,80966
2002.03,71413
2002.04,81161
2002.05,77635
2002.06,82375
2002.07,77964
2002.08,86000
2002.09,88501
2002.10,95782
2002.11,100959
2002.12,91168
2003.01,113178
2003.02,96653
2003.03,91944
2003.04,92022
2003.05,90397
2003.06,100301
2003.07,88886
2003.08,98515
2003.09,104831
2003.10,96055
2003.11,105112
2003.12,108665
2004.01,117325
2004.02,99717
2004.03,100286
2004.04,104793
2004.05,107043
2004.06,111350
2004.07,112895
2004.08,121060
2004.09,124414
2004.10,122960
2004.11,137586
2004.12,135194
2005.01,142991
2005.02,118198
2005.03,114000
2005.04,139397
2005.05,127117
2005.06,130301
2005.07,132593
2005.08,135271
2005.09,144960
2005.10,135919
2005.11,140813
2005.12,154900
2006.01,160940
2006.02,143668
2006.03,138134
2006.04,138978
2006.05,157720
2006.06,153122
2006.07,149640
2006.08,167893
2006.09,191827
2006.10,166201
2006.11,170824
2006.12,174588
2007.01,175382
2007.02,151886
2007.03,147664
2007.04,155284
2007.05,153011
2007.06,167111
2007.07,163079
2007.08,166144
2007.09,177128
2007.10,178144
2007.11,184082
2007.12,187313
2008.01,198151
2008.02,179522
2008.03,166000
2008.04,175743
2008.05,171819
2008.06,181143
2008.07,191449
2008.08,198182
2008.09,194753
2008.10,203747
2008.11,197719
2008.12,198251
2009.01,207860
2009.02,183672
2009.03,179982
2009.04,186930
2009.05,188008
2009.06,188409
2009.07,202472
2009.08,201147
2009.09,208412
2009.10,220249
2009.11,222598
2009.12,227751
2010.01,246070
2010.02,212791
2010.03,206510
2010.04,237949
2010.05,225269
2010.06,231375
2010.07,235062
2010.08,238839
2010.09,235593
2010.10,248624
2010.11,234778
2010.12,289218
2011.01,241446
2011.02,243854
2011.03,238150
2011.04,246963
2011.05,306688
2011.06,250304
2011.07,266970
2011.08,275027
2011.09,278585
2011.10,277274
2011.11,255058
2011.12,298129
2012.01,320475
2012.02,266746
2012.03,298286
2012.04,284437
2012.05,285389
2012.06,305933
2012.07,292244
2012.08,308934
2012.09,304508
2012.10,315248
2012.11,341943
2012.12,366369
2013.01,325939
2013.02,311541
2013.03,289142
2013.04,327990
2013.05,323676
2013.06,329564
2013.07,331023
2013.08,343078
2013.09,358180
2013.10,341221
2013.11,361248
2013.12,390869
2014.01,346845
2014.02,352313
2014.03,340424.93341
2014.04,346240.58454
2014.05,338442.40993
2014.06,352748.90705
2014.07,326895.45885
2014.08,375630.49619
2014.09,366539.56004
2014.10,363683.50398
2014.11,385694.50072
2014.12,413902.65037
2015.01,394963.63749
2015.02,362469.72368
2015.03,357382.47971
2015.04,374386.28064
2015.05,345935.50274
2015.06,357376.61572
2015.07,367304.62153
2015.08,361961.22364
2015.09,363560.47056
2015.10,357478.47978
2015.11,374964.43842
2015.12,390954.61324
2016.01,401275.67266
2016.02,390640.54801
2016.03,384662.62172
2016.04,398127.25744
2016.05,361685.02
2016.06,383128.2582
2016.07,387149.07025
2016.08,419232.82702
2016.09,420609.76017
2016.10,372375.33215
2016.11,419697.8529
2016.12,434479.41053
2017.01,457683.40677
2017.02,391282.83734
2017.03,397874.38478
2017.04,401036.14903
2017.05,386153.46374
2017.06,462616.13828
2017.07,420716.18455
2017.08,368963.12788
2017.09,424293.87366
2017.10,424851.24334
2017.11,453911.92009
2017.12,456323.1882
2018.01,491580.7752
2018.02,424528.68781
2018.03,453825.74844
2018.04,512980.79038
2018.05,432716.95979
2018.06,416636.20358
2018.07,471652.10659
2018.08,461650.44582
2018.09,484396.78777
2018.10,486926.18119
2018.11,501900.87166
2018.12,523500.49387
2019.01,529925.9401
2019.02,470175.71776
2019.03,454366.76743
2019.04,465648.14083
2019.05,440976.85572
2019.06,471408.33774
2019.07,453825.74844
2019.08,512980.79038
2019.09,455850.01519
2019.10,445164.97114
2019.11,539229.33471
