,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
06/06/2020,5590,8845,9236,1150,2254
07/06/2020,3149,6659,7180,670,1254
08/06/2020,3615,6697,4483,249,610
09/06/2020,6472,11380,10549,1462,2228
10/06/2020,6829,11611,10351,1736,2386
11/06/2020,5275,11847,9438,1534,2318
12/06/2020,5055,8679,10075,676,1497
13/06/2020,4778,7762,7210,902,1052
14/06/2020,1676,6196,7339,448,1451
15/06/2020,1232,8293,6119,1510,3493
16/06/2020,5759,10739,12889,2316,3215
17/06/2020,6444,12435,7664,1798,3847
18/06/2020,5423,8055,4254,2086,2947
19/06/2020,6214,14132,27708,2380,4337
20/06/2020,7189,13520,8621,2214,3122
21/06/2020,3128,5359,4966,1523,2483
22/06/2020,5524,5595,6430,1340,2543
23/06/2020,9096,11046,12821,3190,3283
24/06/2020,7178,12403,15071,3932,4141
25/06/2020,5754,11852,15360,2939,3578
26/06/2020,6369,12511,20049,2901,5030
27/06/2020,4603,18372,9454,2894,3370
28/06/2020,4060,8632,12457,1722,3605
29/06/2020,2199,9894,6530,1692,3737
30/06/2020,4707,10752,9896,4131,4360
01/07/2020,6186,16976,15733,3503,4314
02/07/2020,7189,14367,18331,4399,3819
03/07/2020,5129,14386,14749,4724,3235
04/07/2020,5846,14008,7053,5322,5694
05/07/2020,2426,6868,11396,2263,3098
06/07/2020,1954,5623,5975,2609,4068
07/07/2020,6050,13863,15267,4458,5667
08/07/2020,5098,14183,15877,4632,4781
09/07/2020,5370,13807,14646,4184,4612
10/07/2020,6080,14439,15083,4842,4604
11/07/2020,5049,13208,12619,4435,3712
12/07/2020,2072,8017,7717,3265,3760
13/07/2020,2838,5513,7021,2245,2669
14/07/2020,5077,12028,15933,5353,3466
15/07/2020,5693,12071,12702,4933,4525
16/07/2020,6169,13782,13222,7191,5039
17/07/2020,4809,9556,10168,5050,4594
18/07/2020,4502,9979,8886,3351,1814
19/07/2020,1787,7655,8891,2147,3049
20/07/2020,3023,4805,6120,2694,3615
21/07/2020,4861,10385,12683,6081,6998
22/07/2020,6819,19384,24541,8703,8413
23/07/2020,6659,18336,20234,6571,8161
24/07/2020,5691,16150,20031,7156,6863
25/07/2020,4916,13600,21702,5761,5168
26/07/2020,2574,6553,7613,3685,4153
27/07/2020,1908,5743,7165,2454,6014
28/07/2020,4943,15141,6159,7327,7246
29/07/2020,5280,17105,32405,6907,7377
30/07/2020,5047,15484,22141,8448,6717
31/07/2020,4075,15458,20249,6012,6589
01/08/2020,4378,12546,15133,8431,4904
02/08/2020,2564,6727,9619,3319,3571
03/08/2020,1744,3857,4291,2606,4143
04/08/2020,5114,12682,19197,7260,7350
05/08/2020,6574,14981,18410,8797,8390
06/08/2020,6143,12841,19258,7450,7447
07/08/2020,5177,14426,17216,4767,8644
08/08/2020,4822,12204,20803,7736,4405
09/08/2020,2381,5410,9570,2649,3000
10/08/2020,2029,3375,4881,5194,6569
11/08/2020,5156,14757,16577,7794,7876
12/08/2020,5366,10999,23877,7355,7558
13/08/2020,5041,12406,27375,7024,8245
14/08/2020,5613,12011,18143,7910,6967
15/08/2020,4073,10427,15876,6048,5152
16/08/2020,2671,5546,9331,2644,2909
17/08/2020,2303,3573,6136,2191,5170
18/08/2020,5113,11107,16781,7715,7068
19/08/2020,5422,11789,17947,6870,7270
20/08/2020,5201,11292,17225,4748,6857
21/08/2020,4768,6194,10687,3887,4819
22/08/2020,4867,10309,20298,8423,6135
23/08/2020,2420,5687,8755,2629,3930
24/08/2020,1701,3269,4670,2166,5272
25/08/2020,5444,10107,15347,6500,9736
26/08/2020,5283,11498,17092,6795,6493
27/08/2020,5069,10306,15563,6242,7055
28/08/2020,4600,9866,16110,7368,5468
29/08/2020,4336,9628,12604,10392,4390
30/08/2020,2360,3807,5138,2162,2691
31/08/2020,1774,2643,3684,33547,4313
01/09/2020,4305,9056,16144,6351,6803
02/09/2020,4265,10953,17601,7745,6370
03/09/2020,3951,9956,17459,7087,5320
04/09/2020,4633,16881,13223,6914,8512
05/09/2020,4384,-840,12664,9901,5090
06/09/2020,1783,2633,5967,2522,1616
07/09/2020,1514,1832,3338,1266,2323
08/09/2020,1468,2716,3210,2874,4011
09/09/2020,3711,7821,10837,6735,6712
10/09/2020,4428,7806,14004,7010,7309
11/09/2020,3816,7319,17986,5943,8654
12/09/2020,3321,7028,12786,6397,3991
13/09/2020,1575,2683,5549,2578,2383
14/09/2020,1459,2383,3848,2548,4917
15/09/2020,4035,7428,11804,5634,7752
16/09/2020,3429,7476,13702,6384,5829
17/09/2020,3152,6636,12223,7129,7163
18/09/2020,3521,7598,14651,6323,7704
19/09/2020,3722,7057,11876,6032,4370
20/09/2020,1277,3447,6890,2416,2359
21/09/2020,1082,2381,4117,1890,3969
22/09/2020,3415,6591,12608,5680,5242
23/09/2020,3904,6183,11500,4404,7290
24/09/2020,3507,5907,12676,4514,6213
25/09/2020,3600,4896,13699,4379,5337
26/09/2020,3405,6701,9465,5069,3738
27/09/2020,1951,2444,6290,2022,1611
28/09/2020,1145,1944,3173,1583,5310
29/09/2020,3745,5629,11064,4986,6634
30/09/2020,4054,7883,10925,5136,5415
01/10/2020,3711,5788,11847,9667,5144
02/10/2020,3255,5353,13918,5737,5168
03/10/2020,2895,4553,11440,4583,2839
04/10/2020,650,1971,2823,1478,1534
05/10/2020,594,1925,4231,1934,3262
06/10/2020,2406,18152,10899,4629,5820
07/10/2020,2881,6903,11588,5111,5070
08/10/2020,2659,5953,11103,3838,4197
09/10/2020,2592,4928,11540,5088,3296
10/10/2020,2340,5804,11346,4518,2741
11/10/2020,944,2921,5399,1983,1095
12/10/2020,196,1551,2720,3052,910
13/10/2020,1084,2328,2413,1499,2896
14/10/2020,2443,6567,9362,4382,4481
15/10/2020,2866,6789,10577,4416,3875
16/10/2020,2431,7161,12930,4574,3818
17/10/2020,2931,5167,8913,4764,2287
18/10/2020,938,3157,4459,1498,930
19/10/2020,881,4053,2936,3209,4304
20/10/2020,2717,5150,8409,4444,2507
21/10/2020,3595,4625,9097,3994,3507
22/10/2020,2963,5770,7997,4786,3342
23/10/2020,3189,5732,11758,5409,3938
24/10/2020,3177,4523,9963,6335,2981
25/10/2020,1698,2669,5726,1835,1565
26/10/2020,1331,2325,5822,3690,2558
27/10/2020,3348,5121,10001,6435,4882
28/10/2020,3085,6250,10282,6310,2702
29/10/2020,3177,4353,9537,5605,3434
30/10/2020,2943,4783,9204,2737,2615
31/10/2020,1558,2943,5474,7510,1462
01/11/2020,1334,1745,3361,2751,909
02/11/2020,638,1638,2469,2681,1075
03/11/2020,1092,1476,3823,3691,1761
04/11/2020,2752,4201,7059,7054,2910
05/11/2020,2720,6204,6637,4472,2261
06/11/2020,1425,6228,3805,4598,2806
07/11/2020,3490,4747,3163,9003,1977
08/11/2020,1313,2169,3378,2479,1215
09/11/2020,1148,2510,2025,3415,1819
10/11/2020,2634,5233,5385,7806,2915
11/11/2020,2822,5106,29810,8678,2954
12/11/2020,2377,7099,10726,7519,5486
13/11/2020,3510,4947,10799,7876,1938
14/11/2020,2550,5158,10904,17614,2081
15/11/2020,1153,3511,4278,4125,1067
16/11/2020,1068,3314,2966,4295,1728
17/11/2020,2348,3847,15063,10989,3047
18/11/2020,2865,5639,12352,11117,2118
19/11/2020,3083,6983,12526,10008,3318
20/11/2020,3025,5385,15963,11452,2572
21/11/2020,2368,6365,8456,13160,2273
22/11/2020,1552,3647,7101,4952,1363
23/11/2020,1707,3894,3891,4336,2379
24/11/2020,2911,4028,10587,10791,2783
25/11/2020,3009,10100,17713,13322,3754
26/11/2020,2940,7066,11780,12730,3098
27/11/2020,2591,9666,10280,9622,1971
28/11/2020,3755,9817,13340,20537,4473
29/11/2020,1881,7031,7541,6411,1604
30/11/2020,1477,4249,4248,9004,2160
01/12/2020,3195,8294,17812,17807,3801
02/12/2020,3375,8568,19055,14153,4712
03/12/2020,3616,9139,18062,16103,3514
04/12/2020,2847,8354,16646,14648,4389
05/12/2020,2942,6992,18560,11477,3238
06/12/2020,1835,9332,8017,6059,1120
07/12/2020,1758,5279,3956,7747,1631
08/12/2020,3007,11401,16325,15017,5338
09/12/2020,2584,11652,19604,15558,4055
10/12/2020,3640,12028,19381,13537,4761
11/12/2020,3465,10748,20594,14514,5107
12/12/2020,2288,7468,18506,12987,2651
13/12/2020,2289,5308,5424,7680,1124
14/12/2020,1872,5263,4881,9328,3849
15/12/2020,2722,8200,13681,14392,3894
16/12/2020,3964,15812,12334,33727,4737
17/12/2020,3762,11159,31956,18039,4910
18/12/2020,3406,8721,21059,15375,3983
19/12/2020,3563,9842,21126,12648,2998
20/12/2020,1511,6330,8141,7726,1737
21/12/2020,2152,4414,8064,6809,3580
22/12/2020,4273,9096,20986,16979,3868
23/12/2020,3371,10095,21702,7187,4341
24/12/2020,3401,8965,19519,23227,3316
25/12/2020,1614,4982,10803,5169,2047
26/12/2020,713,4546,5716,4931,1340
27/12/2020,1919,4670,5702,4100,2088
28/12/2020,2392,4155,5532,5655,2814
29/12/2020,4150,10449,24841,14059,5219
30/12/2020,3674,11490,23080,12784,4621
31/12/2020,4220,11609,24808,12915,3221
01/01/2021,1521,5700,9639,5859,1886
02/01/2021,1268,3097,5361,4377,1724
03/01/2021,1582,3385,6390,4358,1626
04/01/2021,1571,3081,8758,3860,2736
05/01/2021,4626,8985,24113,13906,5018
06/01/2021,5560,11054,28941,11924,5951
07/01/2021,4767,9585,27084,41669,4738
08/01/2021,3205,10063,25160,8659,4948
09/01/2021,7364,8932,26828,15510,3656
10/01/2021,3296,6825,12493,5391,1787
11/01/2021,4524,4809,8170,5153,3166
12/01/2021,5850,6458,26127,18641,6949
13/01/2021,5310,11131,29646,9082,5730
14/01/2021,7528,11792,28440,14365,5633
15/01/2021,7199,13286,29576,13756,5381
16/01/2021,6799,12423,27185,11066,4094
17/01/2021,3628,8110,14513,4830,1959
18/01/2021,3888,5034,7457,3930,3362
19/01/2021,5451,10409,27979,12276,5979
20/01/2021,8973,12504,26963,10769,5176
21/01/2021,6118,12206,26098,9883,4814
22/01/2021,8743,11821,21206,9470,5312
23/01/2021,7359,11045,29850,9568,4512
24/01/2021,3787,7822,11060,3885,1769
25/01/2021,3534,7160,7253,5182,3687
26/01/2021,7364,10502,23998,13604,6495
27/01/2021,8625,11904,29178,10023,3790
28/01/2021,6534,9901,27885,10466,7025
29/01/2021,6875,10869,25624,9886,6572
30/01/2021,8000,11484,25691,9583,3704
31/01/2021,3204,9152,10155,3676,1569
01/02/2021,3448,5797,7261,5167,2918
02/02/2021,6390,9040,23641,10376,4649
03/02/2021,7042,11626,23254,8687,5393
04/02/2021,6648,8532,28302,8950,4441
05/02/2021,6196,8954,21968,9282,4472
06/02/2021,6621,10443,20472,9336,3758
07/02/2021,2682,6670,12467,3646,1380
08/02/2021,3109,7348,7347,3142,2493
09/02/2021,5694,10366,19328,10421,5677
10/02/2021,6363,9252,27854,11142,4991
11/02/2021,6354,12541,21232,10144,4471
12/02/2021,6632,10321,21428,9125,4040
13/02/2021,4693,8482,18203,9419,3502
14/02/2021,2623,9206,6776,4331,1823
15/02/2021,2902,16631,4944,4652,3068
16/02/2021,4678,9338,23341,13654,4260
17/02/2021,4808,20266,17902,9511,4279
18/02/2021,5618,9799,19735,11824,4903
19/02/2021,6099,7771,20133,12311,4736
20/02/2021,5322,11256,23876,12647,4371
21/02/2021,2476,8046,9451,7238,1815
22/02/2021,3635,6081,6710,6984,3576
23/02/2021,6909,12178,19113,18229,6286
24/02/2021,6081,13035,23172,16539,7761
25/02/2021,5464,13923,24252,15846,6513
26/02/2021,6200,14376,19951,17781,6861
27/02/2021,5836,13770,20485,17337,4174
28/02/2021,2825,11315,10142,7408,2337
01/03/2021,3413,7836,9385,10926,4182
02/03/2021,5897,11594,17025,17994,7415
03/03/2021,5599,14770,23647,19739,7949
04/03/2021,6104,16740,23705,21014,7539
05/03/2021,7106,15666,24134,20650,7939
06/03/2021,5007,12686,22979,23830,5107
07/03/2021,3123,10357,14828,49432,2768
08/03/2021,3477,9055,8260,6161,5368
09/03/2021,5476,13867,23404,20192,7825
10/03/2021,6975,16153,29907,18638,8203
11/03/2021,7873,16007,26175,16678,8679
12/03/2021,6345,18267,29542,22334,9175
13/03/2021,5602,17152,26558,19970,6896
14/03/2021,3356,10882,16555,9360,3659
15/03/2021,4330,7732,11136,6462,6579
16/03/2021,7412,17097,27360,22701,9356
