,Brasil
29/06/2020,24052
30/06/2020,33846
01/07/2020,46712
02/07/2020,48105
03/07/2020,42223
04/07/2020,37923
05/07/2020,26051
06/07/2020,20229
07/07/2020,45305
08/07/2020,44571
09/07/2020,42619
10/07/2020,45048
11/07/2020,39023
12/07/2020,24831
13/07/2020,20286
14/07/2020,41857
15/07/2020,39924
16/07/2020,45403
17/07/2020,34177
18/07/2020,28532
19/07/2020,23529
20/07/2020,20257
21/07/2020,41008
22/07/2020,67860
23/07/2020,59961
24/07/2020,55891
25/07/2020,51147
26/07/2020,24578
27/07/2020,23284
28/07/2020,40816
29/07/2020,69074
30/07/2020,57837
31/07/2020,52383
01/08/2020,45392
02/08/2020,25800
03/08/2020,16641
04/08/2020,51603
05/08/2020,57152
06/08/2020,53139
07/08/2020,50230
08/08/2020,49970
09/08/2020,23010
10/08/2020,22048
11/08/2020,52160
12/08/2020,55155
13/08/2020,60091
14/08/2020,50644
15/08/2020,41576
16/08/2020,23101
17/08/2020,19373
18/08/2020,47784
19/08/2020,49298
20/08/2020,45323
21/08/2020,30355
22/08/2020,50032
23/08/2020,23421
24/08/2020,17078
25/08/2020,47134
26/08/2020,47161
27/08/2020,44235
28/08/2020,43412
29/08/2020,41350
30/08/2020,16158
31/08/2020,45961
01/09/2020,42659
02/09/2020,46934
03/09/2020,43773
04/09/2020,50163
05/09/2020,31199
06/09/2020,14521
07/09/2020,10273
08/09/2020,14279
09/09/2020,35816
10/09/2020,40557
11/09/2020,43718
12/09/2020,33523
13/09/2020,14768
14/09/2020,15155
15/09/2020,36653
16/09/2020,36820
17/09/2020,36303
18/09/2020,39797
19/09/2020,33057
20/09/2020,16389
21/09/2020,13439
22/09/2020,33536
23/09/2020,33281
24/09/2020,32817
25/09/2020,31911
26/09/2020,28378
27/09/2020,14318
28/09/2020,13155
29/09/2020,32058
30/09/2020,33413
01/10/2020,36157
02/10/2020,33431
03/10/2020,26310
04/10/2020,8456
05/10/2020,11946
06/10/2020,41906
07/10/2020,31553
08/10/2020,27750
09/10/2020,27444
10/10/2020,26749
11/10/2020,12342
12/10/2020,8429
13/10/2020,10220
14/10/2020,27235
15/10/2020,28523
16/10/2020,30914
17/10/2020,24062
18/10/2020,10982
19/10/2020,15383
20/10/2020,23227
21/10/2020,24818
22/10/2020,24858
23/10/2020,30026
24/10/2020,26979
25/10/2020,13493
26/10/2020,15726
27/10/2020,29787
28/10/2020,28629
29/10/2020,26106
30/10/2020,22282
31/10/2020,18947
01/11/2020,10100
02/11/2020,8501
03/11/2020,11843
04/11/2020,23976
05/11/2020,22294
06/11/2020,18862
07/11/2020,22380
08/11/2020,10554
09/11/2020,10917
10/11/2020,23973
11/11/2020,49370
12/11/2020,33207
13/11/2020,29070
14/11/2020,38307
15/11/2020,14134
16/11/2020,13371
17/11/2020,35294
18/11/2020,34091
19/11/2020,35918
20/11/2020,38397
21/11/2020,32622
22/11/2020,18615
23/11/2020,16207
24/11/2020,31100
25/11/2020,47898
26/11/2020,37614
27/11/2020,34130
28/11/2020,51922
29/11/2020,24468
30/11/2020,21138
01/12/2020,50909
02/12/2020,49863
03/12/2020,50434
04/12/2020,46884
05/12/2020,43209
06/12/2020,26363
07/12/2020,20371
08/12/2020,51088
09/12/2020,53453
10/12/2020,53347
11/12/2020,54428
12/12/2020,43900
13/12/2020,21825
14/12/2020,25193
15/12/2020,42889
16/12/2020,70574
17/12/2020,69826
18/12/2020,52544
19/12/2020,50177
20/12/2020,25445
21/12/2020,25019
22/12/2020,55202
23/12/2020,46696
24/12/2020,58428
25/12/2020,24615
26/12/2020,17246
27/12/2020,18479
28/12/2020,20548
29/12/2020,58718
30/12/2020,55649
31/12/2020,56773
01/01/2021,24605
02/01/2021,15827
03/01/2021,17341
04/01/2021,20006
05/01/2021,56648
06/01/2021,63430
07/01/2021,87843
08/01/2021,52035
09/01/2021,62290
10/01/2021,29792
11/01/2021,25822
12/01/2021,64025
13/01/2021,60899
14/01/2021,67758
15/01/2021,69198
16/01/2021,61567
17/01/2021,33040
18/01/2021,23671
19/01/2021,62094
20/01/2021,64385
21/01/2021,59119
22/01/2021,56552
23/01/2021,62334
24/01/2021,28323
25/01/2021,26816
26/01/2021,61963
27/01/2021,63520
28/01/2021,61811
29/01/2021,59826
30/01/2021,58462
31/01/2021,27756
01/02/2021,24591
02/02/2021,54096
03/02/2021,56002
04/02/2021,56873
05/02/2021,50872
06/02/2021,50630
07/02/2021,26845
08/02/2021,23439
09/02/2021,51486
10/02/2021,59602
11/02/2021,54742
12/02/2021,51546
13/02/2021,44299
14/02/2021,24759
15/02/2021,32197
16/02/2021,55271
17/02/2021,56766
18/02/2021,51879
19/02/2021,51050
20/02/2021,57472
21/02/2021,29026
22/02/2021,26986
23/02/2021,62715
24/02/2021,66588
25/02/2021,65998
26/02/2021,65169
27/02/2021,61602
28/02/2021,34027
01/03/2021,35742
02/03/2021,59925
03/03/2021,71704
04/03/2021,75102
05/03/2021,75495
06/03/2021,69609
07/03/2021,80508
08/03/2021,32321
09/03/2021,70764
10/03/2021,79876
11/03/2021,75412
12/03/2021,85663
13/03/2021,76178
14/03/2021,43812
15/03/2021,36239
16/03/2021,83926
17/03/2021,90303
18/03/2021,86982
19/03/2021,90570
20/03/2021,79069
21/03/2021,47774
22/03/2021,49293
23/03/2021,82493
24/03/2021,89992
25/03/2021,100158
26/03/2021,84245
27/03/2021,85948
28/03/2021,44326
29/03/2021,38927
30/03/2021,84494
31/03/2021,90638
01/04/2021,91097
02/04/2021,70238
03/04/2021,43515
04/04/2021,31359
05/04/2021,28645
06/04/2021,86979
07/04/2021,92625
08/04/2021,86652
09/04/2021,93317
10/04/2021,71832
11/04/2021,37017
12/04/2021,35785
13/04/2021,82186
14/04/2021,73513
15/04/2021,73174
16/04/2021,85774
17/04/2021,67636
18/04/2021,42980
19/04/2021,30624
20/04/2021,69381
21/04/2021,79719
22/04/2021,45178
23/04/2021,69105
24/04/2021,71137
25/04/2021,32572
26/04/2021,28636
27/04/2021,72140
28/04/2021,79726
29/04/2021,69389
30/04/2021,68333
01/05/2021,66964
02/05/2021,28935
03/05/2021,24619
04/05/2021,77359
05/05/2021,73295
06/05/2021,73380
07/05/2021,78886
08/05/2021,63430
09/05/2021,38911
10/05/2021,25200
11/05/2021,72715
12/05/2021,76692
13/05/2021,74592
14/05/2021,85536
15/05/2021,67009
16/05/2021,40709
17/05/2021,232
18/05/2021,29916
