,Brasil
Unnamed: 1,BR
26/02/2020,0
27/02/2020,0
28/02/2020,0
29/02/2020,1
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,1
05/03/2020,4
06/03/2020,6
07/03/2020,6
08/03/2020,6
09/03/2020,5
10/03/2020,4
11/03/2020,18
12/03/2020,25
13/03/2020,21
14/03/2020,23
15/03/2020,79
16/03/2020,34
17/03/2020,57
18/03/2020,137
19/03/2020,193
20/03/2020,283
21/03/2020,224
22/03/2020,418
23/03/2020,345
24/03/2020,310
25/03/2020,232
26/03/2020,482
27/03/2020,502
28/03/2020,487
29/03/2020,352
30/03/2020,323
31/03/2020,1138
01/04/2020,1119
02/04/2020,1074
03/04/2020,1146
04/04/2020,1222
05/04/2020,852
06/04/2020,926
07/04/2020,1661
08/04/2020,2210
09/04/2020,1930
10/04/2020,1781
11/04/2020,1089
12/04/2020,1442
13/04/2020,1261
14/04/2020,1832
15/04/2020,3058
16/04/2020,2105
17/04/2020,3257
18/04/2020,2917
19/04/2020,2055
20/04/2020,1927
21/04/2020,2498
22/04/2020,2678
23/04/2020,3735
24/04/2020,3503
25/04/2020,5514
26/04/2020,3379
27/04/2020,4613
28/04/2020,5385
29/04/2020,6276
30/04/2020,7218
01/05/2020,5919
02/05/2020,5260
03/05/2020,4588
04/05/2020,6633
05/05/2020,6935
06/05/2020,10503
07/05/2020,9888
08/05/2020,10222
09/05/2020,10611
10/05/2020,6760
11/05/2020,5632
12/05/2020,9258
13/05/2020,11385
14/05/2020,13944
15/05/2020,15305
16/05/2020,14919
17/05/2020,7938
18/05/2020,13140
19/05/2020,17408
20/05/2020,19951
21/05/2020,18508
22/05/2020,20803
23/05/2020,16508
24/05/2020,15813
25/05/2020,11687
26/05/2020,16324
27/05/2020,20599
28/05/2020,26417
29/05/2020,26928
30/05/2020,33274
31/05/2020,16409
01/06/2020,11598
02/06/2020,28936
03/06/2020,28633
04/06/2020,30925
05/06/2020,30830
06/06/2020,27075
07/06/2020,18912
08/06/2020,15654
09/06/2020,32091
10/06/2020,32913
11/06/2020,30412
12/06/2020,25982
13/06/2020,21704
14/06/2020,17110
15/06/2020,20647
16/06/2020,34918
17/06/2020,32188
18/06/2020,22765
19/06/2020,54771
20/06/2020,34666
21/06/2020,17459
22/06/2020,21432
23/06/2020,39436
24/06/2020,42725
25/06/2020,39483
26/06/2020,46860
27/06/2020,38693
28/06/2020,30476
